,topic,type,ref,urlKaggle,title,author,lastRunTime,totalVotes
16,Big-data-concepts,kernels,niklasdonges/end-to-end-project-with-python,kaggle.com/code/niklasdonges/end-to-end-project-with-python,End to End Project with Python,Niklas Donges,2019-02-17 12:06:23,397
17,Big-data-concepts,kernels,janiobachmann/patient-charges-clustering-and-regression,kaggle.com/code/janiobachmann/patient-charges-clustering-and-regression,Patient Charges || Clustering and Regression,Janio Martinez Bachmann,2019-01-19 12:59:29,312
18,Data-mining-concepts,kernels,xvivancos/market-basket-analysis,kaggle.com/code/xvivancos/market-basket-analysis,Market Basket Analysis ,Xavier,2022-12-04 12:55:54,612
19,Data-mining-concepts,kernels,jiashenliu/introduction-to-financial-concepts-and-data,kaggle.com/code/jiashenliu/introduction-to-financial-concepts-and-data,Introduction to financial concepts and data,Jiashen Liu,2021-07-01 09:52:48,936
20,Data-mining-concepts,kernels,shivamb/data-science-glossary-on-kaggle,kaggle.com/code/shivamb/data-science-glossary-on-kaggle,Data Science Glossary on Kaggle,Shivam Bansal,2018-12-10 09:47:14,2141
21,Data-mining-concepts,kernels,mgmarques/customer-segmentation-and-market-basket-analysis,kaggle.com/code/mgmarques/customer-segmentation-and-market-basket-analysis,Customer Segmentation and Market Basket Analysis,Marcelo Marques,2018-11-27 23:07:03,117
22,Data-mining-concepts,kernels,pierremegret/gensim-word2vec-tutorial,kaggle.com/code/pierremegret/gensim-word2vec-tutorial,Gensim Word2Vec Tutorial,Pierre Megret,2018-10-21 01:14:06,523
23,Data-mining-concepts,kernels,hiteshp/head-start-for-data-scientist,kaggle.com/code/hiteshp/head-start-for-data-scientist,Head Start for Data Scientist,Hitesh palamada,2018-09-02 18:36:19,1091
24,Data-mining-concepts,kernels,evrenermis/association-rule-based-learning-explained,kaggle.com/code/evrenermis/association-rule-based-learning-explained,Association Rule Based Learning Explained,Evren Ermis,2020-06-28 20:11:16,35
25,Data-mining-concepts,kernels,prashant111/bagging-vs-boosting,kaggle.com/code/prashant111/bagging-vs-boosting,Bagging vs Boosting,Prashant Banerjee,2020-06-30 13:14:30,222
26,Data-mining-concepts,kernels,arunkumarramanan/awesome-ds-for-beginners-with-titanic-exploration,kaggle.com/code/arunkumarramanan/awesome-ds-for-beginners-with-titanic-exploration,Awesome DS for Beginners with Titanic Exploration,Arunkumar Venkataramanan,2019-02-21 13:30:18,46
27,Data-mining-concepts,kernels,headsortails/personalised-medicine-eda-with-tidy-r,kaggle.com/code/headsortails/personalised-medicine-eda-with-tidy-r,Personalised Medicine - EDA with tidy R,Heads or Tails,2019-01-07 17:06:03,314
28,Data-mining-concepts,kernels,edumagalhaes/exploratory-analyses-of-industrial-labor-accidents,kaggle.com/code/edumagalhaes/exploratory-analyses-of-industrial-labor-accidents,Exploratory Analyses of Industrial Labor Accidents,EduardoMagalhãesOliveira,2018-04-12 16:54:36,18
29,Data-mining-concepts,kernels,arunkumarramanan/data-science-python-fuel-efficiency-prediction,kaggle.com/code/arunkumarramanan/data-science-python-fuel-efficiency-prediction,Data Science - Python: Fuel Efficiency Prediction,Arunkumar Venkataramanan,2019-02-23 21:35:07,85
30,Data-mining-concepts,kernels,gpreda/explore-king-james-bible-books,kaggle.com/code/gpreda/explore-king-james-bible-books,Explore King James Bible Books,Gabriel Preda,2019-02-10 00:29:05,60
31,Data-mining-concepts,kernels,arunkumarramanan/awesome-ml-frameworks-and-mnist-classification,kaggle.com/code/arunkumarramanan/awesome-ml-frameworks-and-mnist-classification,Awesome ML Frameworks and MNIST Classification,Arunkumar Venkataramanan,2019-02-21 13:25:10,63
32,Data-mining-concepts,kernels,arunkumarramanan/awesome-deep-learning-with-cnn-mnist-classifier,kaggle.com/code/arunkumarramanan/awesome-deep-learning-with-cnn-mnist-classifier,Awesome Deep Learning with CNN MNIST Classifier,Arunkumar Venkataramanan,2019-02-23 17:49:58,179
33,Machine-learning-algorithms,kernels,milan400/machine-learning-algorithms-from-scratch,kaggle.com/code/milan400/machine-learning-algorithms-from-scratch,Machine Learning Algorithms from Scratch,milan,2022-06-30 14:17:01,103
34,Machine-learning-algorithms,kernels,harunshimanto/machine-learning-algorithms-for-epileptic-seizures,kaggle.com/code/harunshimanto/machine-learning-algorithms-for-epileptic-seizures,Machine Learning Algorithms for Epileptic Seizures,Harun-Ur-Rashid,2018-10-22 20:52:53,54
35,Google-colab,kernels,naim99/skin-cancer-segmentation-google-colab,kaggle.com/code/naim99/skin-cancer-segmentation-google-colab,skin cancer segmentation : google colab,Naim Mhedhbi,2020-09-26 09:02:02,30
36,Google-colab,kernels,gopidurgaprasad/stater-pytorch-tpu-google-colab,kaggle.com/code/gopidurgaprasad/stater-pytorch-tpu-google-colab,Stater Pytorch TPU Google Colab,Gopi Durgaprasad,2020-03-27 14:47:55,26
37,Google-colab,kernels,kool777/ultimate-google-colab-training-batch-size-64,kaggle.com/code/kool777/ultimate-google-colab-training-batch-size-64,Ultimate Google Colab Training [batch size 64],Kuldeep Singh Chouhan,2020-10-26 09:50:34,43
38,Google-colab,kernels,ultralytics/yolov5,kaggle.com/code/ultralytics/yolov5,YOLOv5,Glenn Jocher,2022-11-22 19:40:14,278
39,Google-colab,kernels,code1110/how-to-submit-from-google-colab,kaggle.com/code/code1110/how-to-submit-from-google-colab,How to submit from Google Colab,katsu1110,2019-06-21 22:36:16,33
40,Google-colab,kernels,motono0223/guie-clip-tensorflow-train-example,kaggle.com/code/motono0223/guie-clip-tensorflow-train-example,guie_CLIP_TensorFlow_train_example,motono0223,2022-08-25 01:35:57,167
41,Google-colab,kernels,jhoward/jupyter-notebook-101,kaggle.com/code/jhoward/jupyter-notebook-101,Jupyter Notebook 101,Jeremy Howard,2022-04-24 20:36:56,940
42,Google-colab,kernels,columbia2131/ubiquant-inference-google-colaboratory-training,kaggle.com/code/columbia2131/ubiquant-inference-google-colaboratory-training,[Ubiquant] Inference: Google Colaboratory Training,colum2131,2022-01-21 11:00:04,30
43,Google-colab,kernels,slavikonnikov/lightgbm-gpu-baseline-model-for-google-colab,kaggle.com/code/slavikonnikov/lightgbm-gpu-baseline-model-for-google-colab,LightGBM GPU baseline model for Google Colab,Slava Konnikov,2020-06-26 19:57:23,17
44,Google-colab,kernels,nhkhang/download-dataset-to-google-colab,kaggle.com/code/nhkhang/download-dataset-to-google-colab,Download dataset to Google Colab,Khang Nguyen,2020-08-08 11:49:28,8
45,Google-colab,kernels,reubenschmidt/how-to-use-google-colab-for-extra-tpu-gpu,kaggle.com/code/reubenschmidt/how-to-use-google-colab-for-extra-tpu-gpu,How to Use Google Colab for Extra TPU/GPU,Reuben Schmidt,2021-01-13 11:05:23,30
46,Google-colab,kernels,faisalalsrheed/kaggle-code-snippets-for-google-colab,kaggle.com/code/faisalalsrheed/kaggle-code-snippets-for-google-colab,Kaggle Code Snippets for Google Colab ,Faisal Alsrheed,2021-12-22 03:18:28,8
47,Google-colab,kernels,sergeykalutsky/introducing-bert-with-tensorflow,kaggle.com/code/sergeykalutsky/introducing-bert-with-tensorflow,Introducing BERT with Tensorflow,Sergey Kalutsky,2018-11-13 14:57:10,117
48,Google-colab,kernels,shonenkov/tpu-training-super-fast-xlmroberta,kaggle.com/code/shonenkov/tpu-training-super-fast-xlmroberta,[TPU-Training] Super Fast XLMRoberta,Alex Shonenkov,2020-05-04 19:54:32,217
49,Google-colab,kernels,xhlulu/intro-to-tf-hub-for-object-detection,kaggle.com/code/xhlulu/intro-to-tf-hub-for-object-detection,Intro to TF Hub for Object Detection,xhlulu,2019-07-30 20:57:19,237
50,Google-colab,kernels,robikscube/a-tale-of-4-kaggler-types-by-ide-use-2018-survey,kaggle.com/code/robikscube/a-tale-of-4-kaggler-types-by-ide-use-2018-survey,A Tale of 4 Kaggler Types by IDE use [2018 Survey],Rob Mulla,2018-12-03 23:58:54,216
51,Google-colab,kernels,paultimothymooney/how-to-get-started-with-the-earth-engine-data,kaggle.com/code/paultimothymooney/how-to-get-started-with-the-earth-engine-data,How to get started with the Earth Engine data,Paul Mooney,2020-07-14 15:14:53,114
52,Jupyter-notebook,kernels,jhoward/jupyter-notebook-101,kaggle.com/code/jhoward/jupyter-notebook-101,Jupyter Notebook 101,Jeremy Howard,2022-04-24 20:36:56,940
53,Jupyter-notebook,kernels,marcovasquez/useful-html-for-jupyter-notebook,kaggle.com/code/marcovasquez/useful-html-for-jupyter-notebook,Useful HTML for Jupyter Notebook,Marco Vasquez E,2020-05-15 17:53:44,110
54,Jupyter-notebook,kernels,stonet2000/lux-ai-season-1-jupyter-notebook-tutorial,kaggle.com/code/stonet2000/lux-ai-season-1-jupyter-notebook-tutorial,Lux AI Season 1 Jupyter Notebook Tutorial,Stone Tao,2021-09-05 22:32:47,141
55,Jupyter-notebook,kernels,tientd95/jupyter-notebook-tricks,kaggle.com/code/tientd95/jupyter-notebook-tricks,Jupyter Notebook Tricks,Hng,2020-08-25 05:15:27,120
56,Jupyter-notebook,kernels,sirivellamadhu/keyboard-shortcuts-for-jupyter-notebook,kaggle.com/code/sirivellamadhu/keyboard-shortcuts-for-jupyter-notebook,Keyboard Shortcuts for jupyter notebook,sirivella madhu,2018-04-07 10:33:30,109
57,Jupyter-notebook,kernels,stonet2000/lux-ai-season-1-jupyter-notebook-quickstart,kaggle.com/code/stonet2000/lux-ai-season-1-jupyter-notebook-quickstart,Lux AI Season 1 Jupyter Notebook Quickstart,Stone Tao,2021-09-05 22:33:17,55
58,Jupyter-notebook,kernels,cjansen/jupyter-notebook,kaggle.com/code/cjansen/jupyter-notebook,Jupyter Notebook,Charles Jansen,2018-08-01 21:20:18,14
59,Jupyter-notebook,kernels,stonet2000/lux-ai-season-2-jupyter-notebook-tutorial,kaggle.com/code/stonet2000/lux-ai-season-2-jupyter-notebook-tutorial,Lux AI Season 2 Jupyter Notebook Tutorial,Stone Tao,2022-12-09 19:14:00,45
60,Jupyter-notebook,kernels,benhamner/python-data-visualizations,kaggle.com/code/benhamner/python-data-visualizations,Python Data Visualizations,Ben Hamner,2017-08-29 15:54:22,1383
61,Jupyter-notebook,kernels,benhamner/exploring-jupyter-notebook-survey-data,kaggle.com/code/benhamner/exploring-jupyter-notebook-survey-data,Exploring Jupyter Notebook Survey Data,Ben Hamner,2016-01-22 19:31:27,10
62,Jupyter-notebook,kernels,serg1974/jupyter-notebook,kaggle.com/code/serg1974/jupyter-notebook,jupyter notebook,SergCha,2017-11-28 09:01:34,3
63,Jupyter-notebook,kernels,parulpandey/10-simple-hacks-to-speed-up-your-data-analysis,kaggle.com/code/parulpandey/10-simple-hacks-to-speed-up-your-data-analysis,10 Simple hacks to speed up your Data Analysis ,Parul Pandey,2020-02-11 04:32:49,932
64,Jupyter-notebook,kernels,alexisbcook/hello-seaborn,kaggle.com/code/alexisbcook/hello-seaborn,"""Hello Seaborn""",Alexis Cook,2022-06-09 00:35:16,734
65,Jupyter-notebook,kernels,startupsci/titanic-data-science-solutions,kaggle.com/code/startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
66,Jupyter-notebook,kernels,kashnitsky/topic-1-exploratory-data-analysis-with-pandas,kaggle.com/code/kashnitsky/topic-1-exploratory-data-analysis-with-pandas,Topic 1. Exploratory Data Analysis with Pandas,Yury Kashnitsky,2021-05-07 08:35:46,873
67,Jupyter-notebook,kernels,robikscube/a-tale-of-4-kaggler-types-by-ide-use-2018-survey,kaggle.com/code/robikscube/a-tale-of-4-kaggler-types-by-ide-use-2018-survey,A Tale of 4 Kaggler Types by IDE use [2018 Survey],Rob Mulla,2018-12-03 23:58:54,216
68,Jupyter-notebook,kernels,rtatman/active-learning-with-notebooks-jupytercon,kaggle.com/code/rtatman/active-learning-with-notebooks-jupytercon,Active learning with notebooks @Jupytercon,Rachael Tatman,2018-08-20 22:14:08,12
69,Jupyter-notebook,kernels,vishnu1183/reporting-using-markdown-in-jupyter-notebook,kaggle.com/code/vishnu1183/reporting-using-markdown-in-jupyter-notebook,Reporting Using Markdown in Jupyter Notebook,Vishnu Prakash Singh,2020-12-11 02:16:23,8
70,Jupyter-notebook,kernels,stefanjaro/libpostal-windows-and-jupyter-notebook,kaggle.com/code/stefanjaro/libpostal-windows-and-jupyter-notebook,"""Libpostal Windows and Jupyter Notebook""",Stefan Jaro,2019-04-14 14:56:34,3
71,Kaggle-Notebook,kernels,mpwolke/kaggle-notebook,kaggle.com/code/mpwolke/kaggle-notebook,Kaggle Notebook,Marília Prata,2020-02-07 16:04:35,24
72,Kaggle-Notebook,kernels,howoojang/first-kaggle-notebook-following-ts-tutorial,kaggle.com/code/howoojang/first-kaggle-notebook-following-ts-tutorial,First kaggle notebook. Following TS tutorial,Howoo Jang,2021-10-13 03:14:22,94
73,Kaggle-Notebook,kernels,ahmedshahriarsakib/streamlit-app-on-kaggle-notebook,kaggle.com/code/ahmedshahriarsakib/streamlit-app-on-kaggle-notebook,Streamlit App On Kaggle Notebook,Ahmed Shahriar Sakib,2022-09-10 00:16:28,64
74,Kaggle-Notebook,kernels,its7171/how-to-use-arnie-on-kaggle-notebook,kaggle.com/code/its7171/how-to-use-arnie-on-kaggle-notebook,How to Use ARNIE on Kaggle Notebook,tito,2020-09-19 12:06:38,105
75,Kaggle-Notebook,kernels,coldfir4/tacotron-2-training-kaggle-notebook,kaggle.com/code/coldfir4/tacotron-2-training-kaggle-notebook,Tacotron 2 Training (Kaggle Notebook),Michael Williams,2021-09-26 20:22:18,7
76,Kaggle-Notebook,kernels,jhoward/using-nbdev-export-in-a-kaggle-notebook,kaggle.com/code/jhoward/using-nbdev-export-in-a-kaggle-notebook,Using nbdev export in a Kaggle notebook,Jeremy Howard,2022-08-01 05:26:02,58
77,Kaggle-Notebook,kernels,bhargavs1/first-kaggle-notebook,kaggle.com/code/bhargavs1/first-kaggle-notebook,First Kaggle notebook,Bhargav S,2021-12-06 07:38:13,19
78,Kaggle-Notebook,kernels,spidermandance/how-to-use-selenium-with-kaggle-notebook,kaggle.com/code/spidermandance/how-to-use-selenium-with-kaggle-notebook,How to use selenium with kaggle notebook,Takayoshi Makabe,2022-01-19 05:31:33,20
79,Kaggle-Notebook,kernels,frsanchez/download-kaggle-files-from-notebook,kaggle.com/code/frsanchez/download-kaggle-files-from-notebook,Download kaggle files from notebook,F.J. Sanchez,2020-01-16 00:13:53,14
80,Kaggle-Notebook,kernels,carlmcbrideellis/a-selection-of-my-kaggle-notebooks,kaggle.com/code/carlmcbrideellis/a-selection-of-my-kaggle-notebooks,A selection of my kaggle notebooks,Carl McBride Ellis,2022-12-15 05:37:05,88
81,Kaggle-Notebook,kernels,gauravduttakiit/how-to-integrate-tableau-with-kaggle-notebook,kaggle.com/code/gauravduttakiit/how-to-integrate-tableau-with-kaggle-notebook,How to integrate Tableau with Kaggle Notebook   ,Gaurav Dutta,2020-09-27 15:14:28,26
82,Kaggle-Notebook,kernels,kihei171/my-first-kaggle-notebook,kaggle.com/code/kihei171/my-first-kaggle-notebook,My First Kaggle Notebook,kihei,2022-07-18 04:19:08,19
83,Kaggle-Notebook,kernels,paultimothymooney/starter-notebook-for-end-als-kaggle-challenge,kaggle.com/code/paultimothymooney/starter-notebook-for-end-als-kaggle-challenge,Starter Notebook for END ALS (Kaggle Challenge),Paul Mooney,2021-03-17 21:13:29,17
84,Kaggle-Notebook,kernels,alexisbcook/titanic-tutorial,kaggle.com/code/alexisbcook/titanic-tutorial,Titanic Tutorial,Alexis Cook,2022-06-24 00:25:16,8267
85,Kaggle-Notebook,kernels,awesomehidingspot/my-first-kaggle-nlp-notebook,kaggle.com/code/awesomehidingspot/my-first-kaggle-nlp-notebook,My first Kaggle NLP Notebook,Manfred Michael,2020-09-10 05:30:41,11
86,Kaggle-Notebook,kernels,ksamant/tps-december-first-notebook-on-kaggle-95-307,kaggle.com/code/ksamant/tps-december-first-notebook-on-kaggle-95-307,TPS December -first notebook on kaggle(95.307%) ,NOOB,2021-12-31 09:39:05,3
87,Kaggle-Notebook,kernels,ahmedshahriarsakib/fastapi-on-kaggle-notebook-ngrok-postman,kaggle.com/code/ahmedshahriarsakib/fastapi-on-kaggle-notebook-ngrok-postman,FastAPI On Kaggle Notebook (Ngrok+Postman),Ahmed Shahriar Sakib,2022-08-11 17:06:34,33
88,Kaggle-Notebook,kernels,javiersastre/grapenlp-grammar-engine-in-a-kaggle-notebook,kaggle.com/code/javiersastre/grapenlp-grammar-engine-in-a-kaggle-notebook,GrapeNLP grammar engine in a Kaggle notebook,Javier Sastre,2020-11-08 10:26:32,6
89,Kaggle-Notebook,kernels,startupsci/titanic-data-science-solutions,kaggle.com/code/startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
90,Kaggle-Notebook,kernels,arthurtok/introduction-to-ensembling-stacking-in-python,kaggle.com/code/arthurtok/introduction-to-ensembling-stacking-in-python,Introduction to Ensembling/Stacking in Python,Anisotropic,2018-06-16 14:41:15,5663
91,Github,kernels,mrisdal/safely-analyzing-github-projects-popular-licenses,kaggle.com/code/mrisdal/safely-analyzing-github-projects-popular-licenses,Safely Analyzing GitHub Projects: Popular Licenses,Meg Risdal,2018-02-06 19:31:43,100
92,Github,kernels,poonaml/analyzing-3-million-github-repos-using-bigquery,kaggle.com/code/poonaml/analyzing-3-million-github-repos-using-bigquery,Analyzing 3 Million Github Repos using BigQuery ,Poonam Ligade,2018-02-28 05:33:35,74
93,Github,kernels,mrisdal/github-commit-messages,kaggle.com/code/mrisdal/github-commit-messages,GitHub commit messages,Meg Risdal,2018-02-02 06:57:41,24
94,Github,kernels,shivamb/github-acquired-exploring-the-past-acquisitions,kaggle.com/code/shivamb/github-acquired-exploring-the-past-acquisitions,Github Acquired! Exploring the Past Acquisitions !,Shivam Bansal,2018-06-18 19:32:10,64
95,Github,kernels,tsalitzion/github-repo-analysis,kaggle.com/code/tsalitzion/github-repo-analysis,GitHub Repo Analysis,VarunBhatia,2017-07-08 05:58:02,18
96,Github,kernels,padhmam/analysing-popular-repositories-on-github,kaggle.com/code/padhmam/analysing-popular-repositories-on-github,Analysing popular repositories on GitHub,Padhma Muniraj,2022-02-02 19:57:41,41
97,Github,kernels,jaimevalero/github-reccomendation-engine,kaggle.com/code/jaimevalero/github-reccomendation-engine,Github reccomendation engine,Jaime Valero,2020-07-12 06:42:34,13
98,Github,kernels,ashishpatel26/useful-deep-learning-resources-from-github,kaggle.com/code/ashishpatel26/useful-deep-learning-resources-from-github,Useful Deep Learning Resources from Github,NowYSM,2018-10-04 11:05:55,26
99,Github,kernels,indrajitdsc/github-bugs-prediction-using-bert-model,kaggle.com/code/indrajitdsc/github-bugs-prediction-using-bert-model,GitHub Bugs Prediction using BERT Model,IndrajitSingh,2021-02-17 04:19:11,20
100,Github,kernels,ravishah1/understanding-the-indoor-loc-github-data-eda,kaggle.com/code/ravishah1/understanding-the-indoor-loc-github-data-eda,Understanding the Indoor Loc GitHub & Data + EDA,Ravi Shah,2021-04-10 03:36:46,38
101,Github,kernels,ultralytics/yolov5,kaggle.com/code/ultralytics/yolov5,YOLOv5,Glenn Jocher,2022-11-22 19:40:14,278
102,Github,kernels,vatsalparsaniya/github-analysis-2020-eda,kaggle.com/code/vatsalparsaniya/github-analysis-2020-eda,GitHub analysis 2020 EDA,Vatsal Parsaniya,2020-05-07 09:04:24,13
103,Github,kernels,ashishpatel26/useful-data-science-notebooks-from-github,kaggle.com/code/ashishpatel26/useful-data-science-notebooks-from-github,Useful Data Science Notebooks From Github,NowYSM,2018-10-04 05:46:29,19
104,Github,kernels,dhruvildave/starter-github-commit-messages,kaggle.com/code/dhruvildave/starter-github-commit-messages,Starter: GitHub Commit Messages,Dhruvil Dave,2022-04-28 20:00:14,25
105,Rest-API,kernels,rtatman/careercon-intro-to-apis,kaggle.com/code/rtatman/careercon-intro-to-apis,CareerCon: Intro to APIs,Rachael Tatman,2019-04-18 04:43:42,240
106,Rest-API,kernels,yassineghouzam/introduction-to-cnn-keras-0-997-top-6,kaggle.com/code/yassineghouzam/introduction-to-cnn-keras-0-997-top-6,Introduction to CNN Keras - 0.997 (top 6%),Yassine Ghouzam,2017-08-18 01:42:23,6458
107,Rest-API,kernels,nonserial/covid19-prediction-with-restcountries-eu-api-data,kaggle.com/code/nonserial/covid19-prediction-with-restcountries-eu-api-data,COVID19: prediction with restcountries.eu API data,Nonserial,2020-03-25 20:54:04,21
108,Rest-API,kernels,rohanrao/tutorial-on-reading-large-datasets,kaggle.com/code/rohanrao/tutorial-on-reading-large-datasets,Tutorial on reading large datasets,Vopani,2020-12-14 17:13:08,1371
109,Rest-API,kernels,dansbecker/order-by,kaggle.com/code/dansbecker/order-by,Order By,DanB,2021-11-09 00:03:36,225
110,Rest-API,kernels,rtatman/sql-scavenger-hunt-handbook,kaggle.com/code/rtatman/sql-scavenger-hunt-handbook,SQL Scavenger Hunt Handbook,Rachael Tatman,2018-02-21 00:54:05,471
111,Rest-API,kernels,dansbecker/as-with,kaggle.com/code/dansbecker/as-with,As & With,DanB,2021-11-09 00:03:47,220
112,Rest-API,kernels,sohier/beyond-queries-exploring-the-bigquery-api,kaggle.com/code/sohier/beyond-queries-exploring-the-bigquery-api,Beyond Queries: Exploring the BigQuery API,Sohier Dane,2018-02-15 20:20:37,111
113,Rest-API,kernels,residentmario/univariate-plotting-with-pandas,kaggle.com/code/residentmario/univariate-plotting-with-pandas,Univariate plotting with pandas,Aleksey Bilogur,2018-09-19 21:30:13,624
114,Rest-API,kernels,ndrewgele/visualizing-pok-mon-stats-with-seaborn,kaggle.com/code/ndrewgele/visualizing-pok-mon-stats-with-seaborn,Visualizing Pokémon Stats with Seaborn,Andrew Gelé,2016-08-30 18:29:25,221
115,Rest-API,kernels,xvivancos/tutorial-getting-data-from-twitter,kaggle.com/code/xvivancos/tutorial-getting-data-from-twitter,Tutorial: Getting Data from Twitter,Xavier,2019-12-01 14:18:29,125
116,Rest-API,kernels,chumajin/easy-to-understand-the-competition,kaggle.com/code/chumajin/easy-to-understand-the-competition,Easy to understand the competition,chumajin,2022-04-27 11:16:40,516
117,Rest-API,kernels,artgor/quick-and-dirty-regression,kaggle.com/code/artgor/quick-and-dirty-regression,Quick and dirty regression,Andrew Lukyanenko,2019-11-21 15:10:59,627
118,Rest-API,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,kaggle.com/code/ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
119,Rest-API,kernels,elcaiseri/mnist-simple-cnn-keras-accuracy-0-99-top-1,kaggle.com/code/elcaiseri/mnist-simple-cnn-keras-accuracy-0-99-top-1,MNIST: Simple CNN keras (Accuracy : 0.99)=>Top 1%,Kassem,2022-03-20 12:10:49,184
120,Rest-API,kernels,init27/fastai-v3-lesson-2,kaggle.com/code/init27/fastai-v3-lesson-2,FastAI (v3): Lesson 2,Sanyam Bhutani,2019-02-06 05:38:41,154
121,Rest-API,kernels,jagangupta/time-series-basics-exploring-traditional-ts,kaggle.com/code/jagangupta/time-series-basics-exploring-traditional-ts,Time series Basics : Exploring traditional TS ,Jagan,2018-03-02 18:21:54,1776
122,Rest-API,kernels,rtatman/careercon-making-an-app-from-your-modeling-code,kaggle.com/code/rtatman/careercon-making-an-app-from-your-modeling-code,CareerCon: Making an app from your modeling code,Rachael Tatman,2019-04-18 04:35:44,86
123,Rest-API,kernels,amadeus1996/fruits-360-transfer-learning-using-keras,kaggle.com/code/amadeus1996/fruits-360-transfer-learning-using-keras,Fruits-360 - Transfer Learning using Keras,IS,2018-06-08 06:04:35,79
124,Rest-API,kernels,maheshdadhich/strength-of-visualization-python-visuals-tutorial,kaggle.com/code/maheshdadhich/strength-of-visualization-python-visuals-tutorial,Strength of visualization-python visuals tutorial,BuryBuryZymon,2017-09-17 13:33:16,597
125,Data-quality,kernels,madhurisivalenka/basic-machine-learning-with-red-wine-quality-data,kaggle.com/code/madhurisivalenka/basic-machine-learning-with-red-wine-quality-data,Basic Machine Learning with Red Wine Quality data,Madhuri Sivalenka,2018-03-04 04:29:29,131
